chat_id,github_link,gpt_link,Type of issue/Problem (#1),Type of issue/Problem (#2),Did ChatGPT help with the issue,How did ChatGPT help with the issue,Explanations for why ChatGPT was helpful (#1),Explanations for why ChatGPT was helpful (#2),Explanations for why ChatGPT was NOT helpful,Notes,owner/repo,primary_language,stars,contributors,forks,username_shared_link,user_public_repos,user_followers,user_account_age_years,user_contributions,num_files,num_lines
2,https://github.com/jeroen/resttesttest/issues/26,https://chat.openai.com/share/bf6d3826-0362-4469-abef-662d0bb8a903,tool/library/api usage queries,,No,,,,"the tool ""resttesttest"" mentioned in the chat with gpt was found to be only for testing purposes. Bad tool suggestion",,jeroen/resttesttest,HTML,196,2,78,hartnady,17,3,10,28,11,8102
28,https://github.com/free2z/zuu/issues/64,https://chat.openai.com/share/78040eb8-1861-4c61-8cb2-e0694c9da0b5,information retrieval,,No,information about word length in a website,,,"unsure of the usefulness of the answer provided by gpt, 'IDK' comment",,free2z/zuu,JavaScript,13,2,5,skyl,151,139,15,10,190,95226
35,https://github.com/OpenAdaptAI/OpenAdapt/issues/185,https://chat.openai.com/share/dda1e1e2-f52f-49c1-ac2e-ece2f0488cb7,system design and architecture,,No,,,,User expected more exhausitive ways of abstraction but chatgpt response was not up to mark,,OpenAdaptAI/OpenAdapt,Python,654,16,80,abrichr,51,30,13,26,189,21959
36,https://github.com/NCATSTranslator/Feedback/issues/198,https://chat.openai.com/share/b88bc79b-1b83-4fda-a08a-1bdb92466f70,information retrieval,,No,,,,"User felt the response from chatgpt is far from reality, mention of hallucination in GPT's response",,NCATSTranslator/Feedback,,7,2,0,jaredroach,0,0,10,7,2,20
37,https://github.com/NCATSTranslator/Feedback/issues/198,https://chat.openai.com/share/52c9e3ff-f95c-4f87-b5f2-a4071930977b,information retrieval,,No,,,,"misintrepation of the question asked by GPT, response does not have any authorized citations",,NCATSTranslator/Feedback,,7,2,0,sandrine-m,0,7,3,0,2,20
38,https://github.com/NCATSTranslator/Feedback/issues/198,https://chat.openai.com/share/891bc9d6-dbc7-40d1-9632-daef859627f8,information retrieval,,No,,,,ChatGPT gave slightly different results for same queries,,NCATSTranslator/Feedback,,7,2,0,sandrine-m,0,7,3,0,2,20
39,https://github.com/NCATSTranslator/Feedback/issues/198,https://chat.openai.com/share/42dd6ac5-be61-484f-be5c-15195c944a50,information retrieval,,No,,,,gave slightly differnt results for the same prompts,,NCATSTranslator/Feedback,,7,2,0,sandrine-m,0,7,3,0,2,20
48,https://github.com/linkml/linkml/issues/1488,https://chat.openai.com/share/60645554-8beb-45d3-b996-0174b1c41c06,tool/library/api usage queries,,No,,,,explicilty someone said that the provided answer by GPT is incorrect,,linkml/linkml,Python,291,30,89,cmungall,348,325,15,26,1698,256909
60,https://github.com/nextflow-io/nf-schema/issues/23,https://chat.openai.com/share/b0e9f648-21a6-4069-b474-a4a60e8f334d,code generation and implementation,,No,code generation,,,the suggested solution and code by gpt was tried and it did not work,,nextflow-io/nf-validation,Groovy,47,13,19,pditommaso,180,493,13,19,125,6883
61,https://github.com/LukeberryPi/phived/issues/55,https://chat.openai.com/share/2f2b6625-e84f-469e-8e4c-42e6ac0ea449,code generation and implementation,code explanation,No,ideas about feature implementation,,,they tried to implement it using the solution provided by gpt but the results were not good 'I didn't like the result.',,LukeberryPi/phived,TypeScript,179,14,33,LukeberryPi,37,518,2,27,68,8317
